comment,judge
这么严吗[允悲]我们这边普通单位提前申请大概率就行,负面
韩国人咋这么喜欢戴帽子，中国人一般很少戴,正面
我们连出市都要审批还出国[doge],正面
死棒子,中性
怕间谍啊，你们不知道而已。,负面
哪那么麻烦，嘴巴叽叽个不停的就是棒子，老远都能听到,负面
港澳可能可以,正面
张家界一直以来韩国人日本人游客都多  导致景区单独做了韩文日文指示牌,正面
这部好看，香港老片子还是不错嘀,正面
你可以离开体制啊，进体制的时候不知道不能出境吗？,正面
嗯  偷偷摸摸的那种气质   真是学不来,正面
肯定没闲着[感冒],负面
体制内哪来的hr,正面
是的，国庆去张家界，超级多韩国人,负面
这类解说毁了原影片，太恶心了。🤮,负面
那可以假装探亲吗 难道还要啥证据[淡淡的],正面
闹闹哄哄，人面兽语的就是棒子,负面
@inmoon- [融化],正面
港澳都不行？[衰],正面
牛,正面
他们很爱插队,正面
连港澳都不能去吗？,正面
童年噩梦,正面
[笑cry],正面
懒得帮你走程序罢了 一般人员哪这么严,负面
不用这么麻烦，最吵的就是韩国人，我在张家界读的大学，每次去景点都能碰上。     平时散在景区里还好，我有一次上厕所遇上了，我的天呐，走出洗手间好远耳朵边还是嗡嗡声。,负面
[笑cry]这就是传说中的“油炸鬼”,正面
认识一个朋友也是公务员，她就在国庆放假前接到通知放假期间不能离开本地，自嘲算省了,负面
棒子垂涎这个地方久已,负面
油炸鬼,正面
不会吧，我们这边去年好几个人轮流出去玩，近的去了港澳，远一点的去了芽庄……感觉报备了就没有关系啊[二哈][二哈][二哈],正面
天津也是[泪],正面
马嵬坡,正面
这腰好厉害,正面
不过吧这样直接拍照好像也不太好[允悲]如果不文明了拍下来也行，如果只是来玩的被拍…,正面
回忆起了当年的那一场电影，不，是录像带,正面
对啊,正面
脸型是平面图形的，基本都是棒子,正面
非涉密人员可以的，但是要报批，出国流程比较麻烦！今年我们隔壁处的同事就有带孩子出国玩儿的，我们平时出京都要报备，不过小喽啰的话只要在内地，就走流程报下信息就行。,负面
完了，天门山又是他们的了[偷笑],正面
昨天才看过，今天果然就没了，触动到上面某些人的利益了[二哈]被封说明含金量更高了,正面
小时候看到这个，那时候想又在想油可以炸鬼，那人是不是可以吃掉它[doge],正面
上面的人究竟在怕什么,正面
不是，哥们，你咋啥都有,负面
小时候就是在一个停电的晚上，在大爷家用发电机看的这个电影，从此蒙头睡觉💤[笑cry],正面
老广真的服了,正面
小时候看过，还带点黄[doge],正面
一群单眼皮小眼睛应该很好认,负面
🐮🍺,中性
欢迎参与微博官方旅行活动，旅行内容添加#微博旅行家#话题词，有机会获得曝光资源、红包惊喜及出行机会！了解更多戳>> http://t.cn/A6HVQi2d,正面
我咋感觉他家艺人好几个鼻子不是很好看，这个美女也有点点,负面
没下之前B站首页还推过，感觉兴趣不大没看[笑cry]，下架后激发兴趣找来看了,负面
童年阴影油炸鬼,正面
昨天首页刷到没点进去看...,负面
真的没人知道韩国人认为自己的祖宗诞生于张家界才来的吗？,正面
我刚刚看到了有人说她有瓜，不知道真假,正面
牛牛牛！[good][good][good][good][good][good],正面
为什么,正面
这你都有啊哈哈哈哈哈,正面
笑死了，怎么会这么像啊,正面
有韩方投资 在韩国宣传力度很大 说什么不带父母来就是不孝顺[允悲],正面
没被抓么,负面
沒啥特色 記不起來的長相,正面
撞大运了,正面
14换16能拿ctol的线对插吗[努力],负面
我有全险，你有什么？,中性
韩雪章若楠吴倩结合的感觉,正面
看了下卡路里消耗量直接爆表，一问原来是火化了。,负面
好t是啥意思,负面
我前天用10g线直插15p和16p换机，传输前准备阶段和计时最后十几分钟确实体感快一点，整体时长体感不明显[允悲],正面
我就说云南人都有点东西的,负面
匎昨日之愁尽散明朝又是新篇,正面
这不申请世界纪录？史上最慢的跑步者。,负面
我icloud数据恢复不了苹果高级顾问说我的备份数据是空壳显示300多g的备份数据实际是0[泪]，说下次让我用电脑备份,负面
果然聪明人多,正面
用无线 睡一觉起来好了,负面
应该是出门站了四个小时被半挂撞了（所以右下角才显示速度）,负面
司静竹躺着看挺好*,正面
交闪现了,负面
挺清纯的,正面
工资也高啊,负面
被半挂撞了还能活着发dy，这不是黑豹也是死侍了,正面
@茫茫日月,正面
人家写的是六块[允悲]主要看你喝哪里的豆浆，芭比馒头的豆浆也就两三块，新鲜现磨那就两回事了[允悲][允悲],正面
主播你人搁在哪呢？ http://t.cn/A6EHKVu5,负面
@-平行公理- 哈哈哈哈哈哈哈哈哈哈哈哈,正面
挺好看的,正面
@狂炫三碗饭_ 撞大运啦,正面
看你在哪儿买了,正面
还挺好看,正面
@Pryzbylewski,中性
果然有天赋,正面
有点像苗苗,正面
轮椅坏了呗,负面
看你在哪里买啊。这种弱智回复不会真有人信吧,负面
我觉得生图还行吧,正面
@小鹿一乱 笑的想死,正面
啊？其实他加进去粉末的时候，我以为要做的得是💣。。。。,正面
说了啥,负面
这个角度看有点像爱情公寓的诺澜，但诺澜五官更精致一些,正面
正解,正面
先拿再说,负面
刀片的意义在哪？,正面
吓人,负面
太牛了,负面
@小枫酱 哈哈哈哈哈哈,正面
哈哈哈哈我觉得是剪辑的，钢壳分离就很诡异了，花纹也不均匀不好看的，卖五位数给冤大头吗,正面
[doge],中性
比于正那个官宣图好看有辨识度。,正面
爱优腾B应该学学P站X站和油管是怎么操作的，他们的流量不比国内低，油管4K真没的说,正面
你好迅速,正面
这成本是重还不重？[偷樂],负面
难怪在线看啥都没问题的电影，放本地片源会卡。。。。。这问题我想了好久。。。。准备换显卡了。。。,负面
牛批牛批，这个必须点赞了[666][666][666][666],正面
普通人里是美女 ylq里不够看 之前觉得古装的核桃怎么那么好看 后来………,正面
哪里有真4k片源呢，一部电影几十G那种，花钱都行，愿意支持正版，但不想线上看假4k了[苦涩],正面
[疑问][疑问][疑问],正面
图片评论 http://t.cn/A6ETCNgu,负面
你真是啥都有,正面
网络上普普通通，现实中人人夸赞。[笑cry],正面
文盲，锻打出来的不是杂质，是氧化皮,负面
爱优腾的广告真是无孔不入，会员也基本就是去个开头广告，暂停广告什么的恶心透了,负面
感觉很厉害的样子,正面
当年说出华为gpu turbo依靠降画质来提升帧率的那些视频也被下架了。在实现“遥遥领先”的征程路上，你得做个真诚正直的人[doge],正面
普通人里是超级好看的人。但是当女明星的话，脸好像没啥记忆点[允悲],正面
Allt och Eva,负面
我觉得是手机屏幕的问题，以前的LCD材质1080P看视频很多手机都挺清晰的，这几年的旗舰手机吹的各种屏，而且都是2K以上分辨率，看视频反而没以前的清晰，感觉屏幕技术被某个屏幕公司带沟里去了，不是技术越进步分辨率越高越清晰的吗？怎么感觉倒退了，不过苹果手机看视频还是比较清晰的,正面
《00后整治外卖乱象》,正面
已经塌了,正面
刃口有缺，看来硬度不高,负面
外卖基本上都与商家给的图片描述不符，很多都有欺诈行为,负面
刚看到有个正脸视频感觉像徐璐，但是五官没徐璐好,正面
感觉这个判决奇奇怪怪的！[摊手],负面
打官司的成本远远大于赔偿，这就是维权思维，争口气争个理,负面
油管,负面
这么多年，方便面包装上的骗人图片为什么不处罚？,负面
主要感觉还是手机用户居多且没被尊重吧，你在一个小屏幕的设备上讲真你肉眼再厉害也很难看出太大差距吧，当然PC用户肯定能感知到有问题，还是基于用户群体之后的决策吧，可能未来没准可以有选项，比如你是PC用户给你更好的体验你跟油管似的看一段广告或者VIP免费啥的。,负面
度：http://t.cn/A6ETURiF,负面
我觉得如果15这个盒饭还是贵了，但是要是10块钱还不错,负面
再玩抽象 我就取关了…[融化],正面
没啥意思，现在的视频都是美颜滤镜，多少k都没用,负面
去某地旅游，定最好的房间，酒店办理最差的房间，投诉后退一赔三,负面
会员不断涨价，清晰度不断下降。赢麻了。,负面
一看就是预制菜，商家发现量少香肠来凑,负面
G城武哈哈哈哈哈哈哈,正面
这都有啊[good],正面
宛平南路600号等你,负面
这种症状多久了[doge],负面
除了b站随便一个视频网站广告满天飞,负面
反正 b 站会员我是不会再买了，其它视频平台因为版权问题没办法，不买不给看,负面
哈哈 这是消费者惩罚性赔偿中的欺诈行为的惩罚性赔偿 赔偿购买商品或接受服务的价款3倍赔偿 不足500按照500计算,负面
哈哈哈哈哈哈,正面
油管，苹果TV,负面
麦当劳也去处罚吧,负面
骂的真脏[doge],负面
那可以确定了 肯定不是说你[阴险],负面
重点是没人管[坏笑]虚假宣传都没人管,负面
挺好,正面
哎哟我要笑死了哈哈哈哈哈哈哈哈哈哈 http://t.cn/A6ETKdwU,正面
不了解国外平台，不过国外怎么看2k 以上啊。起因是之前Gen G乳了，导致国内看不了官方lck转播，但是油管等直播平台画质糊的一匹[奥姆],负面
[泪],正面
0人在意,负面
以国内这些平台的尿性，估计会把右键->视频统计信息 的功能干掉。叨叨码率是吧，不让你看了。,负面
为什么不给我小猫崽子儿点赞[左哼哼][右哼哼],正面
厉害，学到了,正面
赶紧回来宛平南路600号 床位已留好,负面
没什么冤枉的，有的商家不愿意自己拍用的美团内置的图库，那玩意日常能见到的准点，有的差别很大,负面
哈哈哈哈哈哈哈哈哈哈哈哈哈,正面
🍌吃太多的话可能也会产生幻觉[doge],正面
打浦桥•武,正面
电商更是烂大街,负面
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈第一次见男大,正面
难道是在说你长得像金城武[挖鼻],负面
哈哈哈哈哈哈哈哈,正面
家里上百T了，我已经是屯屯鼠了。,正面
我感觉我找到生财之道了[doge],正面
哈哈哈哈哈哈哈哈,正面
油管那边也给下，[允悲],正面
我餐里有异物店家还不想赔偿呢[允悲][允悲][允悲][允悲],正面
宛平南路600号侬是不是老长辰光没去复诊了？,负面
哈哈哈哈哈哈哈哈,正面
我记得两年前还和刘庸一起拍过视频，也不像这样,正面
那是因为都是预制的料理包[doge]进价我没记错的话两块多,负面
笑了,正面
东东啊，是伐是明朝侬好解套了，开始西格格了喽[偷乐],正面
你们只看见15元的卖价，却不知道商家到手除开配送费和平台费可能只有7元。,负面
你们不入？那我入！[怒],负面
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,正面
@闪光爆爆派大星 想起我们21年还讨论过这个话题哈哈哈哈哈哈 http://t.cn/A6EW2x1n,正面
这小潘确实是个狠人，烧烤店老板失算了,负面
一胖毁所有,中性
he tui[吃瓜][吃瓜],负面
哈哈哈哈哈 这是我十月看到最搞笑的东西了哈哈哈哈哈,正面
人家想长咋样长咋样,负面
不能说一摸一样也是八九不离十[doge],负面
哈哈哈哈哈哈哈哈哈哈哈哈,正面
好一个男大,正面
因为生了孩子了,正面
举报了，虚假信息[doge],负面
哈哈哈哈哈哈哈！！哈哈哈哈哈哈哈哈哈哈哈！！！,正面
不是打浦桥王力宏吗？[doge],正面
真是丑得一样,正面
笑晕哈哈哈哈哈哈哈,正面
唇珠，都不是一个人,负面
[允悲][允悲][允悲]真的挺像的,正面
现在挣钱这么难了,负面
我要把自己p上去,中性
我去，真的好像啊,负面
本宫瞧着，这五年果真磨砺出了一颗璀璨明珠，流泪的背后，定是无人知晓的辛酸。继续在宫中闪耀吧，看谁敢不识抬举！,正面
@N1N1MOOD 要是我有男的一半的自信…,正面
为啥是PS5啊[允悲],正面
还挺像的,正面
我不认识金城武是谁，于是百度了一下，确实和我有几分相像（虽然我更帅一点） http://t.cn/A6EW2R7u,正面
你们男的…,正面
这个…好不厚道啊[并不简单],负面
好想打电话问一下~喂，请问是本人吗[doge],负面
你好 我是你的主治医师 回来记得继续电击治疗[doge],正面
当我老公说出我第一次见面被他外貌打动的时候，你知道我的嘴巴张得有多大吗？[跪了]我当时都震惊了以为他在开玩笑，他看了我的表情后也沉默了很久。[允悲],正面
这广告牌是索尼赞助的？？[doge][doge][doge],负面
图片评论 http://t.cn/A6EODTz2,负面
有些事情想不通，照照镜子你就懂,正面
为啥还有PS5，这是索尼做的广告牌吗？[doge],负面
真挺像的[笑cry],正面
@Luckycho1 我要是有男的万分之一自信,正面
哈哈，这是我老家，浑源县,正面
还是没有那种帝王的气质 天生傲视群雄的眼神,正面
哈哈哈，欢迎来我们山西旅游,正面
去隆江都会被嫌腻而赶出来的长相就别在这里自信了[淡淡的],正面
还有俄罗斯是说俄语的[汗][汗][汗],负面
你朋友有没有拿到山西文旅派发的那个通关文牒,负面
杨笠的话含金量持续上升,正面
反向p图可还行，人家是p上去，你是掉,正面
很厉害呀，看不出来那个人是在哪里呢,负面
[泪]我也要这个自信,正面
欢迎参与微博官方旅行活动，旅行内容添加#微博旅行家#话题词，有机会获得曝光资源、红包惊喜及出行机会！了解更多戳>> http://t.cn/A6HVQi2d,正面
如果他是认真的[傻眼]看来男生对自身的接受程度真的很高,正面
@润润润润Ruun @你谁啊老头 哈哈哈哈,正面
我建议景区把合影板放在不碍事的地方，放在这影响直接拍古建筑,负面
小哥应该是岭南人，看久了也还可以[允悲],正面
@不行报警抓我,负面
@爱画画的真小希,正面
这难道不是不被定义独立的集帅吗，他的帅没有讨好谁[阴险],负面
[吃瓜][吃瓜],负面
明智选择[嘻嘻],正面
男的缺少那份气质,正面
评论第一条看的笑死了，太精辟了[哈哈][哈哈][哈哈],正面
浑源,中性
[允悲]这美颜开的,正面
COS俩死鬼多不吉利[二哈],负面
图片评论 http://t.cn/A6EIBWEm,负面
@老胖狗二代 [允悲],正面
我要是有这个自信。@金曜日颂曲 @_陈璟_,正面
图3就是cosplay的人[允悲],正面
已经去打过卡了[笑cry],正面
@软非 emmmmmm,正面
真的像,正面
我擦  那么普通又那么自信，这句话的含金量真的太高了[开摆][开摆],正面
6,负面
黑白的是要把观众送走吗,正面
这些个框子破坏了景观的美感,正面
这种长相的人就应该换个百搭的发型而不是搞个引人注目的海马头,负面
欢迎来山西玩[送花花],正面
双休上五休二，单休上十二休二,负面
我一周半天[苦涩],正面
@给您拜年啦啦 笑死了真的是哈哈哈哈哈,正面
@JannieeKfufu,中性
[裂开]俺都木有,负面
@夢裡能見到鯨魚嗎 我要是有男的一半..自信,负面
@墨飞MOFEI [鲜花][鲜花],正面
搭配宣传人车家那个交响曲就不错[doge],正面
应该这么说，做六休一的公司节假日放假大概率也会打折少休,负面
这样好像差距就显而易见了[泪][泪],正面
你小子这么快[doge],正面
[苦涩],正面
[doge][doge][doge],中性
@17-花花 啊？？？？啊？？？,负面
在这个白华主题出来之前，我就用好久了,正面
压死我的最后一根稻草,负面
一分二那块不好看，直接快进到后面感觉强点,负面
有没有老板来回应下，让员工生无可恋的多上一天班带给你们的是什么,正面
我都用了好久了[二哈],正面
[笑cry],正面
米的呢生硬的logo[允悲],正面
贫僧观之，此开机动画确甚雅观。,正面
[笑cry],正面
这里是[挖鼻],负面
白华，一直用的这个,中性
我之前一个月才休息三天 现在上五休二还是双休舒服,负面
这是找不到什么可吹的了吗？,负面
单休是上六天班睡个觉继续上六天,负面
半年不定准重启二三回[笑cry],负面
差距好明显,正面
[比耶],中性
怎么不把李昀锐理想的滑跪截出来 有对比才有伤害哈哈哈哈哈哈哈哈哈哈哈哈哈哈[允悲],正面
[舔屏]这不就是我用的开机动画,负面
@MIUI小凡,负面
哈哈哈哈哈,正面
哈哈哈哈哈哈 伤害不大 侮辱极强[喵喵],正面
哈哈哈哈哈哈,正面
[喵喵]哈哈哈哈哈,正面
哈哈哈哈哈哈哈,正面
[允悲][允悲][允悲][允悲][允悲],正面
哈哈哈,正面
骂的太脏了,负面
好ol,正面
再不回去唱歌，就成影帝了,负面
回来又跪了一次，还是没跪明白[doge],负面
好看哎！[心],正面
高速开90纯属阻塞交通,负面
骂这么脏，看来不是第一次了[doge][doge],负面
两人性格真不合适 [允悲][允悲],正面
哈哈哈哈笑鼠我了,正面
柚子，你皮厚肉多，我只爱你的内在美！,正面
90确实不算快，但也不至于慢，只要不占超车道就行[微笑]，不过如果没有结婚的话，可以赶紧分了，否则后患无穷,负面
这一口吃下去牙不得倒一排[doge],正面
哈哈哈哈哈😃,正面
我占女司机,负面
这柚子甜不甜啊？看着非常红啊,正面
哈哈哈哈哈哈哈[允悲],正面
这是出海去玩了吗？,正面
可千万不能@小林是李昀锐 [doge]，再次重申一遍，不要@小林是李昀锐 [doge][doge][doge],正面
看来今日份快乐是浪漫给的[太开心],正面
我没车的时候站男方，现在我有车了，我站女方[doge],负面
国庆堵车的就是开90码走快车道的，堵了好几公里,负面
90码不如推了,负面
被小林笑吐了哈哈哈哈哈哈哈哈哈哈哈哈,正面
120的限速开90，比大部分大货车都慢。跑最右侧的道还好，如果是快车道，那后面的车会很窝火。,负面
哈哈哈哈大半夜在被窝笑出声,负面
开90就不要出来阻塞交通,正面
哈哈哈哈哈哈哈,正面
真是情绪稳定的小仙女呢[doge],正面
哈哈哈哈哈哈哈没事的，也就是互联网上人人都知道罢了[doge],正面
Xxn基本盘,负面
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,正面
这不分留着过年？,负面
不行了我哈哈哈哈哈,正面
分手吧，我第一次在网上说这个词,正面
90确实有点慢,负面
哈哈哈太搞笑了,正面
等他认错[允悲],正面
哈哈哈哈哈哈哈,正面
确实慢,负面
笑死了哈哈哈哈,正面
别在最左边就行了,负面
哈哈哈哈哈哈哈[笑cry],正面
高速👀开车原来是这么来滴[兔子][耶][馋嘴],负面
可以丢，我支持,正面
只能说这方面的科普真的很重要，别让无知害了自己,正面
祈祷高速上90码选手都有个这样的女朋友👍🏻,正面
杏生活不和谐要不要分手啊[苦涩],正面
20以下买白色，20以上买黑色,负面
早安[淡淡的],正面
不买红色，红色很难出手且价格会低,正面
两年前做胃镜要查心电图[你好],负面
医生叫我做什么看什么我都同意，毕竟这些检查项目都是检查我个人身体我有什么不同意的呢？,正面
越贵的车越值钱，越便宜的车越不值钱[摊手],负面
这个没错 另一方面过度医疗也较普遍,负面
相信大多数人的眼光选白色，白色晚上反光好，,正面
知道了，不能选白色,正面
转发！医院里的这些“奇葩规定”，其实都是为了保护患者！,正面
已阅，早安[抱一抱] http://t.cn/A6EjCaFu,正面
这些人是不是做了很多伤天害理的事，去少林寺干嘛？赎罪。,负面
这个点，什么颜色都不管用,负面
@王emo变王甜心,正面
这个创意非常好,正面
很多外行，偏就以为自己比专业人员更懂行。。。不懂就要先问清楚再说，而不是偏要无知无畏的跟专业人员对着干，最终害的是自己！,负面
哦哦哦*,正面
每一项严格的规章制度还有要求都是血和泪的教训换来的,正面
红色[心],正面
紧凑型车还是白色的好看 B级车及以上选黑色,正面
前几年有人统计过白色车祸率低20%,正面
看鼻炎让先查血型呢[单身狗],正面
去年被非洲大蚊子咬的我皮肤瘙痒，喀麦隆出差回来，医生还怀疑我身上的红点是梅毒[笑而不语]我踏马还是处男，梅毒个鬼,负面
买自己喜欢的颜色就行了,正面
[鲜花],正面
喜欢什么颜色就买什么颜色,正面
但大部分时候根本不需要，非要强行做这些不过是医院为了排除风险不想担责，对普通人是增加麻烦还要多花钱,负面
谢谢科普,正面
感谢科普,正面
粉色,正面
我就是感冒，咳了两个月，搞成鼻炎和咽炎了，那时候不懂事，以为感冒没什么大不了了，不看医生不吃药[单身狗],负面
慕了慕了[苦涩][苦涩][苦涩],正面
大家是各玩各的[哈哈],正面
图一素什么,正面
这才理解感冒抽血化验的原因,负面
心有所想，日有所思……[doge],负面
科普知识！,正面
发小给你下蛊了[doge],负面
老男孩都14年了，另一位干嘛去了,正面
但是他国庆档三部电影，一部票房6000w，一部2000w撤档，一部3.7e尚可，这种票房成绩算牛吗？,正面
第一次听说中国演员也有票房分成的，牛逼啊,正面
差不多了,正面
"真是这钱拿的都""不好意思""了.[哈哈]""你拿回两摞去!""",负面
梦里啥感觉,正面
日有所思，夜有所梦？,负面
我操[允悲],正面
你发小也能梦到你,负面
这是什么奇奇怪怪的想法,负面
啧啧啧[二哈],负面
想了撒,正面
那可不，天天打卡的人络绎不绝的。你没有多拍几张美照呀？[doge],正面
素颜美丽,正面
端庄大方的美，由内而外散发的美，你的眼睛也很漂亮,正面
演技就不太行了，当时去影院看的《祝你幸福》，喝宋佳的对手戏他接不住的感觉，特别吃力，中途退场了。,正面
片酬哪有这么容易挣,正面
自己当过导演，票房扑了，现在安心当男主，前途一片光明,正面
北京不好意思影业,负面
这是在哪儿拍到的美照呀？感觉这风景把你衬托的更有魅力了[太开心],正面
内地电影片酬不是不如电视剧吗？限薪前能拿到千万片酬电影演员都没几个，现在都限薪了，应该是更少了，他竟然是千万俱乐部的？[允悲],正面
肖表演影帝级,正面
缺一个大爆的电视剧，不然火的圈子太小。[笑cry],负面
图3不打码？,负面
打扮一下,负面
家门的极光也很好看[嘻嘻],正面
看过电影票房分析，他的三部电影全部亏本，其中出入平安直接扑的渣都不剩撤档。,正面
家门口就能看 多幸福啊,正面
影视界大张伟，啥类型都能拿捏,负面
有人愿出嘛,正面
他的演技绝对可以,正面
有票房号召力了 肯定是一线呀,正面
大陆宋康昊哈哈哈,正面
头两天看志愿军里还有他,负面
